organism	NCBI_taxonomy_id	NCBI_bioProjectAccession	NCBI_bioProjectID	Group	SubGroup	A1le	T1le	G1le	C1le	A2le	T2le	G2le	C2le	A4le	T4le	G4le	C4le	A1la	T1la	G1la	C1la	A2la	T2la	G2la	C2la	A4la	T4la	G4la	C4la	genomicGC	ioAle	ioTle	ioGle	ioCle	genes	genomicLen	habitatNCBI	habitatGold	habitatImg
NC_012563	Clostridium botulinum A2 str. Kyoto	536232	PRJNA59229	59229	Firmicutes	Clostridia	690018	430774	447898	229070	247655	260588	53805	43550	137937	123147	19058	18954	134851	90491	81955	51089	45524	51203	6988	13180	22985	30643	2795	6543	28.21	213691	177278	93819	62477	3877	4155278	Multiple	Host-associated	Host-associated
NC_008054	Lactobacillus delbrueckii subsp. bulgaricus ATCC 11842	390333	PRJNA58647	58647	Firmicutes	Bacilli	219943	151988	193945	121012	38770	42340	46777	76628	19461	36249	46060	57070	58464	43479	48387	33984	9572	9981	11017	22227	4816	9100	10494	18351	49.72	97589	90585	95403	86093	1529	1864998	Multiple	NA	Engineered
NC_013216	Desulfotomaculum acetoxidans DSM 771	485916	PRJNA59109	59109	Firmicutes	Clostridia	562836	412820	502727	303725	148864	184264	94702	109918	85854	130690	90699	88066	181437	129090	144354	98029	49946	54627	23103	38381	30642	37436	23133	29130	41.55	187639	182469	144977	118526	4091	4545624	Multiple	NA	Engineered
NC_010102	Salmonella enterica subsp. enterica serovar Paratyphi B str. SPB7	1016998	PRJNA59097	59097	Proteobacteria	Gammaproteobacteria	452650	367594	494273	344587	85880	126328	69048	140931	51971	89143	168810	124367	312578	254332	325733	242061	60298	81868	41210	102600	36618	54573	104366	100416	52.11	57555	58315	64758	59972	5591	4858887	HostAssociated	Host-associated	Host-associated
NC_011740	Escherichia fergusonii ATCC 35469	585054	PRJNA59375	59375	Proteobacteria	Gammaproteobacteria	404368	321074	435313	302565	83025	112463	56727	119921	57478	96147	129165	95729	324585	260443	338306	247292	68221	91028	41717	97122	49231	73266	94195	84902	49.94	69799	70263	71342	68194	4264	4588711	Multiple	Host-associated	Host-associated
NC_008245	Francisella tularensis subsp. tularensis FSC198	393115	PRJNA58693	58693	Proteobacteria	Gammaproteobacteria	207099	146951	151436	96312	63087	83856	22939	19681	41398	57121	9652	8693	129022	88862	80487	58642	38045	47231	8852	16405	25178	31142	4099	6831	32.26	107581	106749	54251	45801	1651	1892616	Aquatic	Host-associated	Host-associated
NC_008148	Rubrobacter xylanophilus DSM 9941	266117	PRJNA58057	58057	Actinobacteria	Actinobacteria	227987	239017	424238	261609	15668	9547	83475	146161	8871	14149	169719	183108	145432	149085	264060	169801	11258	5245	51783	93048	7279	6936	103639	119161	70.48	21573	22157	49261	46884	3140	3225748	Specialized	NA	Engineered
NC_010159	Yersinia pestis Angola	349746	PRJNA58485	58485	Proteobacteria	Gammaproteobacteria	302897	239586	307277	218512	68046	102005	46495	77491	46169	71443	76402	69857	324010	253161	330027	235926	71726	106843	49254	84947	49249	73696	83584	78046	47.6	211805	213726	195255	193297	3832	4504254	Multiple	NA	Engineered
NC_014659	Rhodococcus equi 103S	685727	PRJNA60171	60171	Actinobacteria	Actinobacteria	368413	359570	620686	432771	16635	27395	91469	216021	29218	40352	255371	261137	238065	230591	390651	290654	11701	15440	52922	141200	22540	20596	150651	185206	68.82	36259	37875	84262	80064	4512	5043170	Multiple	NA	NA
NC_015410	Pseudomonas mendocina NK-01	1001585	PRJNA66299	66299	Proteobacteria	Gammaproteobacteria	398813	351986	537761	367212	33028	65865	105368	200632	26623	65046	187918	202406	352886	296714	443556	324725	36812	41758	75257	192154	29845	37080	142700	200446	62.51	59872	65129	107952	100131	4958	5434353	NA	Host-associated	Environmental
NC_012560	Azotobacter vinelandii DJ	322710	PRJNA57597	57597	Proteobacteria	Gammaproteobacteria	371959	341487	546002	364808	31606	50150	97395	213705	19468	35995	202671	235735	300834	268939	421977	304460	30529	29017	67829	184194	17053	19039	150023	208214	65.68	79933	84415	163040	152496	5050	5365318	Multiple	NA	Engineered
NC_008942	Methanocorpusculum labreanum Z	410358	PRJNA58785	58785	Euryarchaeota	Methanomicrobia	153491	127200	157764	112452	27872	33504	23166	40239	23813	32579	39169	47599	137634	108633	133737	93755	27516	27932	18894	37066	25285	21618	33589	38190	50.01	35540	36948	36449	36849	1741	1804962	Aquatic	Environmental	NA
NC_014733	Methylovorus sp. MP688	887061	PRJNA60723	60723	Proteobacteria	Betaproteobacteria	254179	201921	286481	203563	34760	67381	52456	81570	25037	43226	90691	96299	194005	150485	206227	154149	29679	43311	32358	71508	20284	23945	62489	81730	55.44	32768	34283	43326	40220	2712	2862391	NA	Environmental	Environmental
NC_000964	Bacillus subtilis subsp. subtilis str. 168	224308	PRJNA57675	57675	Firmicutes	Bacilli	564725	405557	485565	325222	150740	155416	77783	113631	99893	104920	110063	84017	189241	143928	155614	113917	49643	52026	22751	41903	35258	34842	31617	33935	43.51	70401	64590	53958	46559	4179	4215606	Terrestrial	Environmental	Environmental
NC_014387	Butyrivibrio proteoclasticus B316	515622	PRJNA51489	51489	Firmicutes	Clostridia	600371	422997	510792	305098	126324	177041	107376	94602	123847	156130	45687	59769	84132	61369	66985	46380	17624	22403	11435	17147	16289	22197	4657	12359	40.21	54301	49957	40350	30760	2939	3554795	HostAssociated	Host-associated	Host-associated
NC_008789	Halorhodospira halophila SL1	349124	PRJNA58473	58473	Proteobacteria	Gammaproteobacteria	170348	147524	263847	179433	9040	18564	47889	97525	10288	15673	93934	115662	174957	157856	282327	189074	9527	22044	49507	100973	11431	18909	102316	118707	67.98	18430	18448	36958	36533	2407	2678452	NA	Environmental	Environmental
NC_009937	Azorhizobium caulinodans ORS 571	438753	PRJNA58905	58905	Proteobacteria	Alphaproteobacteria	347358	334897	536754	401969	18571	48234	83147	160579	15133	33142	206659	260804	328473	306646	490882	384059	19038	41337	73787	154045	16391	25879	179747	258102	67.32	47693	49299	100830	97073	4717	5369772	HostAssociated	NA	NA
NC_014165	Thermobispora bispora DSM 43833	469371	PRJNA48999	48999	Actinobacteria	Actinobacteria	271519	265612	474469	334922	7548	7577	77762	172029	8212	11156	201907	230900	177594	173641	308620	227804	5439	5506	47938	115340	6599	7313	132830	153261	72.43	68931	69468	182046	177832	3546	4189976	Terrestrial	NA	Engineered
NC_017042	Rickettsia rhipicephali str. 3-7-female6-CWPP	1105113	PRJNA156977	156977	Proteobacteria	Alphaproteobacteria	130115	86982	86930	58679	41746	49555	11011	12737	21695	30607	8771	7589	90219	60372	55125	39802	28759	33070	6305	10489	14962	19474	4895	5837	32.41	86763	87391	43495	39574	1252	1290368	NA	NA	NA
NC_008570	Aeromonas hydrophila subsp. hydrophila ATCC 7966	380703	PRJNA58617	58617	Proteobacteria	Gammaproteobacteria	378104	319453	464263	315476	30692	61769	96411	176899	20397	43278	166583	187286	303418	253507	354791	264812	24539	39562	72843	151880	15388	23258	120948	172940	61.55	60197	62413	101014	93815	4122	4744448	Multiple	NA	Engineered
NC_011989	Agrobacterium vitis S4	311402	PRJNA58249	58249	Proteobacteria	Alphaproteobacteria	278292	237477	351844	246253	34570	67745	57499	96899	25630	51435	114841	127605	234031	194589	284472	208301	31136	52191	41577	85629	25596	35071	86447	116948	57.66	78404	83107	111792	105983	3234	3726375	Multiple	Host-associated	Host-associated
NC_008528	Oenococcus oeni PSU-1	203123	PRJNA59417	59417	Firmicutes	Bacilli	224965	164066	173962	123860	58335	83986	29225	30932	33203	59823	25020	29400	86565	62109	60635	43912	24790	29272	8443	14013	14880	17788	7959	11269	37.89	68548	71541	43906	39346	1691	1780517	Multiple	NA	Engineered
NC_014376	Clostridium saccharolyticum WM1	610130	PRJNA51419	51419	Firmicutes	Clostridia	642087	466155	586076	340599	140834	181567	115824	138001	112632	106724	122287	114318	180966	135931	153719	103827	39058	49526	26743	44014	29527	31875	29612	39945	45	109553	100093	94173	75261	4157	4662871	Multiple	NA	Engineered
NC_014121	Enterobacter cloacae subsp. cloacae ATCC 13047	716541	PRJNA48363	48363	Proteobacteria	Gammaproteobacteria	478667	383197	531386	373005	74137	98018	77571	178203	48418	89505	191717	148787	336618	274285	365235	265862	51955	68122	52085	129428	33316	56482	130837	115042	54.79	80194	80107	97870	93924	5120	5314580	Multiple	Host-associated	Host-associated
NC_015425	Clostridium botulinum BKT015925	929506	PRJNA66203	66203	Firmicutes	Clostridia	476933	298065	316700	162694	172212	180470	34082	25943	101836	90127	13570	7622	103260	69251	58152	43699	32655	39786	3445	9848	18450	26512	1456	4243	28.49	75172	62791	33111	20684	2518	2773157	NA	NA	Engineered
NC_012815	Bifidobacterium animalis subsp. lactis DSM 10140	555970	PRJNA59357	59357	Actinobacteria	Actinobacteria	193373	153609	231546	166750	16102	27833	44098	74028	17064	21142	79507	87151	89388	71290	103026	80134	8031	11817	17966	35680	9515	7857	33819	43558	60.48	30731	30848	49502	46281	1566	1938480	Multiple	NA	Engineered
NC_002516	Pseudomonas aeruginosa PAO1	208964	PRJNA57945	57945	Proteobacteria	Gammaproteobacteria	457445	414565	657689	446653	35401	46161	118335	273429	20374	37695	247043	292490	367881	330721	515651	369850	32636	28528	85473	230460	17604	20910	184870	254636	66.56	59594	62078	122458	117414	5572	6264404	Multiple	Host-associated	Host-associated
NC_014837	Pantoea sp. At-9b	592316	PRJNA55845	55845	Proteobacteria	Gammaproteobacteria	386230	314562	442006	313179	63030	99804	66963	136402	37981	72095	164337	118896	271690	226663	303433	225437	46137	70438	43197	99904	27901	45455	106918	96563	54.82	58286	58618	71905	67378	3961	4368708	Multiple	NA	NA
NC_015602	Lactobacillus kefiranofaciens ZW3	1033837	PRJNA67985	67985	Firmicutes	Bacilli	295045	190897	222092	147267	77100	105644	41688	40371	47068	75918	23403	26979	78636	52593	54488	40296	20786	24806	7979	14776	11853	18778	4695	10263	37.7	96382	94315	62414	52311	1908	2113023	NA	NA	Engineered
NC_011083	Salmonella enterica subsp. enterica serovar Heidelberg str. SL476	454169	PRJNA58973	58973	Proteobacteria	Gammaproteobacteria	429063	345802	469325	325409	81171	118921	65979	133904	47970	82992	162555	117247	304653	246645	319505	235709	58038	78549	39926	100714	34869	52638	102810	99609	52.09	111058	113193	127497	118506	4651	4888768	Multiple	Host-associated	Host-associated
NC_003317	Brucella melitensis bv. 1 str. 16M	224914	PRJNA57735	57735	Proteobacteria	Alphaproteobacteria	180977	153182	228531	165842	23508	41174	35250	54367	16537	37824	72565	80339	114889	95435	138591	106649	16478	24337	18938	36771	13222	19375	39840	55896	57.16	40015	41480	55425	51974	2059	2117136	HostAssociated	Host-associated	Host-associated
NC_011661	Dictyoglomus turgidum DSM 6724	515635	PRJNA59177	59177	Dictyoglomi	Dictyoglomia	245139	188012	193960	110938	86147	93878	39351	18317	45370	66143	14360	14501	126595	89111	86603	56728	46949	39787	12006	14590	25722	25567	4140	11438	33.96	23583	26009	13428	11273	1744	1855560	Specialized	Environmental	Environmental
NC_003155	Streptomyces avermitilis MA-4680	227882	PRJNA57739	57739	Actinobacteria	Actinobacteria	578473	537579	988288	718774	27398	26167	151601	356429	38093	45159	374529	487576	440035	416657	749412	558706	20480	21040	111434	281434	30488	33406	308082	360604	70.72	119560	118390	284578	284155	7580	9025608	Multiple	Environmental	Environmental
NC_017051	Rickettsia prowazekii str. Dachau	1105097	PRJNA158057	158057	Proteobacteria	Alphaproteobacteria	117466	80419	76348	51523	38041	48252	9118	8340	21046	29374	5682	3985	73749	50566	42701	31203	23550	28503	3934	7345	13677	15774	2697	3248	29.01	80795	84784	36059	31371	839	1108946	NA	NA	NA
NC_017274	Sulfolobus solfataricus 98/2	555311	PRJNA167998	167998	Crenarchaeota	Thermoprotei	214513	165644	164970	94590	69079	72273	34546	33906	47320	46750	16526	16098	247316	186718	190647	108532	80601	81475	40155	39927	54990	51731	18944	18484	35.83	122863	125076	69913	71734	2684	2668974	Specialized	Environmental	NA
NC_014479	Bacillus subtilis subsp. spizizenii str. W23	655816	PRJNA51879	51879	Firmicutes	Bacilli	544535	392965	471072	317269	145277	148104	74644	111594	95626	100208	110028	83233	177431	135441	147068	107718	46428	48417	21565	39945	32357	31675	31318	32762	43.89	62323	57479	49424	42556	4062	4027674	Terrestrial	Environmental	Environmental
NC_005071	Prochlorococcus marinus str. MIT 9313	74547	PRJNA57773	57773	Cyanobacteria	Prochlorales	144145	130965	187077	134985	27369	51938	37378	40593	30849	53920	36640	40298	170471	139589	201472	151926	38759	44198	29937	57724	41822	45438	34833	57693	50.74	78492	83186	82888	78420	2270	2410872	Aquatic	NA	NA
NC_010280	Chlamydia trachomatis L2b/UCH-1/proctitis	471473	PRJNA61635	61635	Chlamydiae/Verrucomicrobia group	Chlamydiae	87604	77093	88457	59586	27026	35625	16153	15296	19862	30153	13414	9379	79596	68531	64183	62002	24185	25514	7684	17957	18202	26020	8244	14088	41.33	18861	19667	15419	11833	874	1038863	HostAssociated	Host-associated	Host-associated
NC_017052	Synechocystis sp. PCC 6803 substr. PCC-N	1080229	PRJNA159835	159835	Cyanobacteria	Oscillatoriophycideae	273587	218235	274410	199925	75404	98355	42295	65676	36398	55004	58776	84047	281793	223175	286376	208608	77200	100153	43811	68635	37065	57234	61446	88880	47.74	67331	66367	61562	60885	3168	3570103	NA	NA	Environmental
NC_010337	Heliobacterium modesticaldum Ice1	498761	PRJNA58279	58279	Firmicutes	Clostridia	360930	288954	421859	279060	57959	70034	78169	130923	34208	51040	120165	161324	91710	76430	102569	76056	15953	17483	17019	34593	10533	13434	27673	42659	56.98	52872	48988	69210	65343	2999	3075407	Multiple	Environmental	Environmental
NC_008751	Desulfovibrio vulgaris DP4	391774	PRJNA58679	58679	Proteobacteria	delta/epsilon subdivisions	201133	192679	305507	211821	21833	28354	48165	92160	20284	38474	95903	119160	238660	210994	321849	249901	29235	22216	45447	113680	29045	32798	87602	152267	63.01	58348	64735	109696	98804	2941	3462887	Multiple	Environmental	Environmental
NC_010742	Brucella abortus S19	430066	PRJNA58873	58873	Proteobacteria	Alphaproteobacteria	174730	147289	220148	160368	22437	39679	34224	51881	15469	36492	70284	78095	111402	92664	134420	103511	15702	23420	18430	35515	12656	18758	38817	54679	57.16	51916	54385	71753	67766	1967	2122487	Multiple	Host-associated	Host-associated
NC_011772	Bacillus cereus G9842	405531	PRJNA58759	58759	Firmicutes	Bacilli	731615	515251	591031	363443	247146	263966	70126	80199	183790	154366	77891	31013	230495	172430	167271	127216	74448	78063	13770	35803	55729	56755	14225	18589	35.26	168784	154824	101145	74133	5489	5387334	Multiple	Host-associated	Host-associated
NC_014171	Bacillus thuringiensis BMB171	714359	PRJNA49135	49135	Firmicutes	Bacilli	695127	490721	563814	346393	235079	251435	65641	76210	175799	147141	74381	29183	217860	164025	158878	121253	70324	73959	12964	34693	52317	54008	13328	18314	35.29	230883	211443	139023	101504	5081	5330088	NA	NA	NA
NC_006369	Legionella pneumophila str. Lens	297245	PRJNA58209	58209	Proteobacteria	Gammaproteobacteria	334830	254721	280525	195073	102522	138377	47805	47153	62162	83890	37518	40719	261262	187399	189486	152161	81088	94619	25882	43754	47283	55697	22955	37487	38.42	81865	85789	55839	49148	2878	3345566	HostAssociated	Host-associated	Host-associated
NC_009699	Clostridium botulinum F str. Langeland	441772	PRJNA58929	58929	Firmicutes	Clostridia	648838	408332	426112	218557	233090	245037	50922	41109	131854	118080	18185	18175	134123	89540	81253	49802	45349	51025	6878	12517	22759	30334	2566	6210	28.31	209813	174856	92325	60768	3631	3995377	Multiple	NA	Engineered
NC_016621	Blattabacterium sp. (Cryptocercus punctulatus) str. Cpu	1075399	PRJNA81083	81083	Bacteroidetes/Chlorobi group	Bacteroidetes	63687	43839	31900	21705	23906	26040	2051	2402	10135	11811	1348	1404	78844	52743	37616	26162	29736	31525	2396	3096	11933	13866	1513	1772	23.85	7158	7199	2165	2079	545	605745	NA	Environmental	Host-associated
NC_000961	Pyrococcus horikoshii OT3	70601	PRJNA57753	57753	Euryarchaeota	Thermococci	183955	142242	167202	92020	53308	46619	45906	34978	35680	43983	19542	24199	147870	112000	129860	71359	43847	34314	32686	30056	33450	28584	14938	19676	41.88	18100	17703	13578	12097	1952	1738505	Aquatic	Environmental	NA
NC_016933	Francisella tularensis subsp. tularensis TIGB03	1001542	PRJNA89379	89379	Proteobacteria	Gammaproteobacteria	209406	148340	154512	98147	63765	83854	23150	20029	41953	59148	9855	8711	127977	89154	80746	58719	37439	46918	8719	16273	25301	31555	4251	6842	32.3	123608	124875	63281	53677	1624	1968651	NA	NA	NA
NC_014393	Clostridium cellulovorans 743B	573061	PRJNA51503	51503	Firmicutes	Clostridia	817601	525510	575347	310809	262256	298823	82486	72827	172256	172019	31958	25564	198927	135632	129438	87200	61985	69725	12225	24984	40371	49763	4949	11249	31.21	242010	211406	121165	83633	4255	5262222	NA	NA	Engineered
NC_008009	Candidatus Koribacter versatilis Ellin345	204669	PRJNA58479	58479	Fibrobacteres/Acidobacteria group	Acidobacteria	465651	377721	536424	402714	55588	77857	94467	175147	55876	67827	182160	186370	392855	316656	448112	346208	49104	63613	75590	149445	49528	55770	146790	164566	58.38	71887	71990	101844	100117	4777	5650368	Terrestrial	Environmental	Environmental
NC_000854	Aeropyrum pernix K1	272557	PRJNA57757	57757	Crenarchaeota	Thermoprotei	117460	109997	168655	94334	25948	14254	44224	49296	21896	27993	37828	47400	107531	99346	150129	84509	24099	13427	39848	44603	20689	25388	33079	41138	56.31	22195	21762	27497	27070	1701	1669696	Specialized	Environmental	NA
NC_012489	Gemmatimonas aurantiaca T-27	379066	PRJNA58813	58813	Gemmatimonadetes	Gemmatimonadetes	306172	283982	468103	350447	24678	62392	67622	131131	36686	49617	193108	165640	293183	271007	444269	341749	25878	53014	59639	130265	39152	42811	172339	175467	64.27	32497	33538	59932	57567	3935	4636964	NA	NA	Engineered
NC_010609	Lactobacillus reuteri JCM 1112	557433	PRJNA58875	58875	Firmicutes	Bacilli	284546	188135	229708	158741	72279	99714	33080	44735	58231	74325	29058	24915	77545	54921	58935	45852	19085	25526	6537	14266	15052	20685	6118	10163	38.88	65892	62887	44898	37746	1820	2039414	HostAssociated	NA	Host-associated
NC_002951	Staphylococcus aureus subsp. aureus COL	93062	PRJNA57797	57797	Firmicutes	Bacilli	413032	267427	294079	191106	141954	158838	28066	41583	89894	86548	28014	16868	112227	78971	74454	55466	36278	42766	5960	14872	23527	25264	5376	7410	32.82	117828	106832	61069	47838	2614	2809422	HostAssociated	NA	Engineered
NC_015321	Fluviicola taffensis DSM 16823	755732	PRJNA65271	65271	Bacteroidetes/Chlorobi group	Bacteroidetes	494766	361125	373605	254818	136119	188565	60413	68691	111551	111718	46991	34696	407173	291840	291996	212347	116475	137982	36206	70290	93735	86741	30225	36112	36.49	76491	78043	46015	42124	4041	4633577	Aquatic	Host-associated	Environmental
NC_012108	Desulfobacterium autotrophicum HRM2	177437	PRJNA59061	59061	Proteobacteria	delta/epsilon subdivisions	502960	411665	500547	338631	100227	135526	91265	129440	70031	101963	113210	148469	430475	329615	390343	287004	92909	93453	64863	122847	67431	68729	80543	134006	48.85	100887	107089	101902	95121	4867	5589073	Multiple	Environmental	Environmental
NC_008711	Arthrobacter aurescens TC1	290340	PRJNA58109	58109	Actinobacteria	Actinobacteria	342189	309520	495037	357824	38923	43565	78136	157643	47760	70334	145906	198574	252806	229906	360003	269305	29504	31229	53067	120996	38604	45707	102816	154079	62.34	59482	60225	99871	97122	4042	4597686	Terrestrial	Environmental	Environmental
NC_013132	Chitinophaga pinensis DSM 2588	485918	PRJNA59113	59113	Bacteroidetes/Chlorobi group	Bacteroidetes	960449	695645	838429	571923	197034	283285	142408	242444	172504	196639	200035	152235	672765	478697	556984	407417	147751	172577	81653	185703	118472	121751	122366	133675	45.23	171431	172767	147407	136078	7200	9127347	Terrestrial	Environmental	Environmental
NC_010117	Coxiella burnetii RSA 331	360115	PRJNA58637	58637	Proteobacteria	Gammaproteobacteria	170946	133610	154689	111247	53205	65667	21604	30918	25565	38753	33276	31516	132862	102649	111153	88418	40506	47370	13856	25867	19285	29122	22112	27492	42.76	97324	100445	76542	69946	1930	2016427	Multiple	Host-associated	Host-associated
NC_015563	Delftia sp. Cs1-4	742013	PRJNA67319	67319	Proteobacteria	Betaproteobacteria	475994	431349	708946	504811	32446	55238	122537	261151	26779	38818	274648	317866	386854	341012	553603	421181	27862	37250	91548	221494	25347	22847	209858	271415	66.72	62436	64641	127519	122340	5863	6685842	NA	Environmental	Environmental
NC_013037	Dyadobacter fermentans DSM 18053	471854	PRJNA59049	59049	Bacteroidetes/Chlorobi group	Bacteroidetes	620509	465189	574633	398969	107152	128535	99474	204035	68632	77931	190355	168222	603398	448697	538594	395073	109607	113351	86245	205138	67779	70451	168929	177833	51.54	90447	92098	97908	93248	5720	6967790	HostAssociated	Host-associated	Host-associated
NC_010546	Cyanothece sp. ATCC 51142	43989	PRJNA59013	59013	Cyanobacteria	Oscillatoriophycideae	415970	307349	343901	251723	156056	171494	32009	54967	68928	103858	41964	64546	441794	326063	363560	268521	165117	181920	34896	60298	73264	110001	44076	69175	37.88	114378	115186	69628	69537	4762	4934271	Aquatic	Environmental	Environmental
NC_007432	Streptococcus agalactiae A909	205921	PRJNA57935	57935	Firmicutes	Bacilli	316053	224633	247486	168578	95383	118392	32860	37603	67225	90786	20424	22131	76935	52382	52042	40682	22637	25042	5451	11686	14387	21175	3123	7193	35.62	50181	49089	30362	24308	1997	2127839	HostAssociated	Host-associated	Host-associated
NC_016047	Bacillus subtilis subsp. spizizenii TU-B-10	1052585	PRJNA73967	73967	Firmicutes	Bacilli	562624	404823	485660	326664	150271	153040	77247	114590	98275	103450	112924	85763	177596	136725	146439	107421	46374	48888	21322	39981	32444	31868	31050	32670	43.82	85378	79355	67029	57795	4297	4207222	NA	Host-associated	Environmental
NC_016778	Brucella canis HSK A52141	1104321	PRJNA83613	83613	Proteobacteria	Alphaproteobacteria	178409	151432	225378	164114	22713	40528	34858	53283	15639	37166	72275	80105	114720	95469	138638	106730	16110	24098	18860	36595	12896	19347	40031	56431	57.21	37814	39467	52549	49080	2129	2107023	NA	Host-associated	Host-associated
NC_014329	Corynebacterium pseudotuberculosis FRC41	765874	PRJNA50585	50585	Actinobacteria	Actinobacteria	209650	176401	260948	186256	35464	54228	41825	57215	44781	70727	58820	60169	123639	108405	146223	120367	20985	29093	19518	37070	29965	35790	26284	49759	52.19	36176	38220	43133	37395	2110	2337913	NA	Host-associated	Host-associated
NC_007802	Jannaschia sp. CCS1	290400	PRJNA58147	58147	Proteobacteria	Alphaproteobacteria	317725	290905	459144	312962	31612	67898	67627	135728	29971	46803	173623	160639	263948	237273	371273	268835	27740	52427	51202	115932	26450	35477	131908	147593	62.33	37682	38964	64359	61280	4212	4317977	Aquatic	Environmental	Environmental
NC_006055	Mesoplasma florum L1	265311	PRJNA58055	58055	Tenericutes	Mollicutes	163293	102553	93762	58558	65237	59872	5366	13167	33015	33249	2522	1714	17870	11202	10080	6190	6643	6859	633	1544	3113	3969	249	243	27.02	6444	5433	2444	1943	682	793224	HostAssociated	Environmental	Host-associated
NC_006624	Thermococcus kodakarensis KOD1	69014	PRJNA58225	58225	Euryarchaeota	Thermococci	186000	148283	191572	115017	34323	21057	54390	60752	24001	34409	36749	58346	176196	137681	176114	105663	35416	18722	50001	57909	24780	28116	33793	53454	52	17282	17150	18253	18421	2306	2088737	Specialized	NA	NA
NC_015556	Pseudomonas fulva 12-X	743720	PRJNA67351	67351	Proteobacteria	Gammaproteobacteria	377200	326767	501617	344247	31150	50125	92963	194712	19526	48144	179560	207525	308924	259422	387505	283301	29538	32763	65616	170128	19335	27603	133811	180334	63.51	53847	57276	97475	91966	4464	4920769	NA	Environmental	Environmental
NC_008229	Helicobacter acinonychis str. Sheeba	382638	PRJNA58685	58685	Proteobacteria	delta/epsilon subdivisions	182614	124362	130134	81226	59941	67728	23364	27900	14185	33385	24758	20756	131348	88003	88522	60152	43078	47126	14147	22208	10223	22912	15305	17802	38.18	27178	27168	17827	16371	1613	1553927	HostAssociated	Host-associated	Host-associated
NC_014666	Frankia sp. EuI1c	298654	PRJNA42615	42615	Actinobacteria	Actinobacteria	503539	509784	953497	681815	18002	24560	125274	353040	28745	42566	407016	449149	412455	409267	773749	574273	15714	17642	97699	293201	27450	28684	323789	380728	72.31	113220	118166	306975	300407	7083	8815781	Multiple	NA	NA
NC_004129	Pseudomonas protegens Pf-5	220664	PRJNA57937	57937	Proteobacteria	Gammaproteobacteria	521990	456837	690290	471558	48808	78762	129947	283119	27591	59840	263690	274756	451451	382221	554727	406651	49341	47691	93221	263632	26551	34230	200841	258759	63.3	92856	98826	171841	158744	6109	7074893	Multiple	Host-associated	Host-associated
NC_009328	Geobacillus thermodenitrificans NG80-2	420246	PRJNA58829	58829	Firmicutes	Bacilli	440922	350132	456353	304659	107449	127246	71633	102006	61242	72892	141142	103656	104252	85320	99082	75315	26249	28982	13503	26896	16301	16560	26317	28982	49.01	95940	92456	95280	79069	3392	3550319	Specialized	Environmental	Environmental
NC_014638	Bifidobacterium bifidum PRL2010	702459	PRJNA59883	59883	Actinobacteria	Actinobacteria	218030	171442	269522	187953	14866	23531	49338	95935	14831	21249	93100	113918	91453	73786	110026	81892	6993	9577	18490	42650	8124	7128	39723	47576	62.67	47117	45167	78280	75653	1706	2214656	NA	Host-associated	Host-associated
NC_016011	Listeria ivanovii	1638	PRJNA73473	73473	Firmicutes	Bacilli	416793	289228	341106	220590	136002	141213	29157	57377	99112	93227	46501	34323	102754	76601	79237	57549	31030	34757	5959	16040	21878	26968	8523	11251	37.13	100259	89095	60644	49178	2650	2928879	Multiple	Host-associated	Host-associated
NC_014019	Bacillus megaterium QM B1551	545693	PRJNA15862	15862	Firmicutes	Bacilli	674853	492507	565633	376984	210095	217376	68411	107585	161865	151950	89040	58104	191796	148056	150367	114374	57636	61609	16481	35021	42879	47536	20696	21731	38.26	169391	156140	108291	88963	5116	5097129	NA	NA	NA
NC_007794	Novosphingobium aromaticivorans DSM 12444	279238	PRJNA57747	57747	Proteobacteria	Alphaproteobacteria	271783	243363	405913	289214	23203	35167	60467	124762	21273	38914	140726	167914	203297	181389	302621	222597	19451	22690	41100	97911	19031	23363	101407	134981	65.15	23060	23320	43681	42796	3324	3561584	Multiple	Environmental	Environmental
NC_014008	Coraliomargarita akajimensis DSM 45221	583355	PRJNA47079	47079	Chlamydiae/Verrucomicrobia group	Verrucomicrobia	309708	241192	333100	239515	42816	75444	59373	100021	48491	58118	76703	105370	286571	230178	319306	222544	38333	78909	62440	87534	43255	58128	79706	91171	53.6	48643	47372	54064	57035	3121	3750771	Aquatic	Environmental	Environmental
NC_014168	Segniliparus rotundus DSM 44985	640132	PRJNA49049	49049	Actinobacteria	Actinobacteria	232109	218127	376369	273392	25969	26910	64900	117395	17513	29312	141675	154465	158779	144043	244308	187729	20942	14082	35200	84738	15207	14441	89268	110005	66.79	28013	29355	59190	55564	3006	3157527	NA	Host-associated	Host-associated
NC_014909	Candidatus Blochmannia vafer str. BVAF	859654	PRJNA62083	62083	Proteobacteria	Gammaproteobacteria	83329	64393	57808	35701	29000	41090	6672	4552	15478	20344	5166	1938	50732	34376	25253	22078	16877	20138	1416	5402	9924	8976	1354	2203	27.51	32288	34473	15339	10182	595	722585	NA	Host-associated	Host-associated
NC_009664	Kineococcus radiotolerans SRS30216	266940	PRJNA58067	58067	Actinobacteria	Actinobacteria	203230	214431	410693	301122	5456	3471	52279	152216	7758	10528	165116	223515	293180	311299	593762	425474	6796	5270	79883	211666	8971	15730	232536	325064	74.44	29519	28248	78068	80216	4480	4761183	Multiple	NA	Engineered
